                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.71622,                0.42737,                0.89528,                0.99763,                0.99753,                0.99499,                0.85612,                0.64409,                0.31829,                0.84938,             0.00054786,             0.00054786,             0.00054786
                    130,                0.68812,                0.38284,                0.86069,                0.99656,                0.99969,                0.99497,                0.85768,                0.63141,                0.31217,                 0.8453,             0.00054346,             0.00054346,             0.00054346
                    131,                0.69449,                0.38955,                0.86544,                0.99672,                0.99856,                0.99495,                0.84354,                0.66078,                0.32172,                0.85413,             0.00053906,             0.00053906,             0.00053906
                    132,                0.68129,                0.36939,                0.85514,                0.99656,                0.99798,                0.99495,                0.85579,                0.62572,                0.31028,                0.84255,             0.00053466,             0.00053466,             0.00053466
                    133,                0.69353,                0.37528,                0.85364,                0.99604,                0.99898,                0.99498,                0.84596,                0.66022,                0.32773,                0.85037,             0.00053026,             0.00053026,             0.00053026
                    134,                0.66268,                0.36995,                0.85503,                0.99696,                0.99824,                0.99499,                0.85491,                0.63488,                0.31375,                0.84465,             0.00052586,             0.00052586,             0.00052586
                    135,                 0.7001,                  0.391,                0.84208,                0.99825,                 0.9987,                  0.995,                0.85473,                0.63827,                0.30994,                0.84702,             0.00052146,             0.00052146,             0.00052146
                    136,                0.69783,                0.38754,                 0.8529,                0.99638,                0.99723,                  0.995,                0.85736,                0.62431,                0.30625,                0.84477,             0.00051706,             0.00051706,             0.00051706
                    137,                0.68906,                0.36907,                0.86521,                0.99674,                0.99968,                  0.995,                 0.8553,                0.63133,                0.30068,                0.84645,             0.00051266,             0.00051266,             0.00051266
                    138,                0.70328,                0.38058,                0.85763,                0.99546,                      1,                  0.995,                0.86901,                0.59439,                0.29553,                0.83784,             0.00050826,             0.00050826,             0.00050826
